game_id,away_team,home_team,ev_team,event,prev_event,seconds_elapsed_game,seconds_elapsed_period,time_since_prev_event,time_since_prev_shot,time_since_prev_home_shot,time_since_prev_away_shot,time_since_prev_goal,time_since_prev_home_goal,time_since_prev_away_goal,is_goal,cumulative_shots_period,cumulative_shots_game,cumulative_goals_game,home_leads_1,home_leads_2,home_leads_3plus,away_leads_1,away_leads_2,away_leads_3plus,home_team_5vs4_pp,home_team_5vs3_pp,away_team_5vs4_pp,away_team_5vs3_pp,period_1,period_2,period_3
20005,CHI,UTA,UTA,GOAL,HIT,1726.0,526.0,11.0,24.0,24.0,34.0,526.0,526.0,526.0,1,27,57,3,0,1,0,0,0,0,0,0,0,0,0,1,0
20005,CHI,UTA,CHI,GOAL,TAKE,2067.0,867.0,14.0,134.0,146.0,134.0,341.0,341.0,867.0,1,35,65,4,0,0,1,0,0,0,0,0,0,0,0,1,0
20005,CHI,UTA,CHI,GOAL,FAC,2688.0,288.0,6.0,22.0,47.0,22.0,288.0,288.0,288.0,1,15,90,5,0,1,0,0,0,0,0,0,0,0,0,0,1
20005,CHI,UTA,UTA,GOAL,HIT,3558.0,1158.0,1.0,5.0,5.0,18.0,870.0,1158.0,870.0,1,53,128,6,1,0,0,0,0,0,0,0,0,0,0,0,1
20005,CHI,UTA,UTA,GOAL,SHOT,3578.0,1178.0,1.0,20.0,20.0,38.0,20.0,20.0,890.0,1,54,129,7,0,1,0,0,0,0,0,0,0,0,0,0,1
20006,TOR,MTL,MTL,GOAL,MISS,468.0,468.0,1.0,8.0,8.0,63.0,468.0,468.0,468.0,1,22,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20007,NYR,PIT,NYR,GOAL,MISS,144.0,144.0,2.0,46.0,46.0,69.0,144.0,144.0,144.0,1,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20007,NYR,PIT,NYR,GOAL,MISS,1043.0,1043.0,4.0,26.0,80.0,26.0,899.0,1043.0,899.0,1,40,40,2,0,0,0,1,0,0,0,0,0,0,1,0,0
20007,NYR,PIT,NYR,GOAL,SHOT,1188.0,1188.0,2.0,2.0,88.0,2.0,145.0,1188.0,145.0,1,51,51,3,0,0,0,0,1,0,0,0,0,0,1,0,0
20007,NYR,PIT,NYR,GOAL,FAC,1779.0,579.0,1.0,25.0,59.0,25.0,579.0,579.0,579.0,1,21,72,4,0,0,0,0,0,1,0,0,0,0,0,1,0
20007,NYR,PIT,NYR,GOAL,SHOT,3095.0,695.0,1.0,26.0,26.0,240.0,695.0,695.0,695.0,1,29,127,5,0,0,0,0,0,1,0,0,0,0,0,0,1
20007,NYR,PIT,NYR,GOAL,SHOT,3419.0,1019.0,2.0,3.0,59.0,3.0,324.0,1019.0,324.0,1,38,136,6,0,0,0,0,0,1,0,0,0,0,0,0,1
20008,WPG,EDM,WPG,GOAL,SHOT,896.0,896.0,2.0,2.0,109.0,2.0,896.0,896.0,896.0,1,24,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20008,WPG,EDM,WPG,GOAL,MISS,1115.0,1115.0,4.0,130.0,157.0,130.0,219.0,1115.0,219.0,1,31,31,2,0,0,0,1,0,0,0,0,0,0,1,0,0
20008,WPG,EDM,WPG,GOAL,FAC,1457.0,257.0,1.0,12.0,107.0,12.0,257.0,257.0,257.0,1,12,47,3,0,0,0,0,1,0,0,0,0,0,0,1,0
20008,WPG,EDM,WPG,GOAL,MISS,1477.0,277.0,5.0,20.0,127.0,20.0,20.0,277.0,20.0,1,13,48,4,0,0,0,0,0,1,0,0,0,0,0,1,0
20008,WPG,EDM,WPG,GOAL,SHOT,1773.0,573.0,10.0,32.0,113.0,32.0,296.0,573.0,296.0,1,21,56,5,0,0,0,0,0,1,0,0,0,0,0,1,0
20008,WPG,EDM,WPG,GOAL,FAC,3255.0,855.0,17.0,146.0,146.0,493.0,855.0,855.0,855.0,1,28,111,6,0,0,0,0,0,1,0,0,0,0,0,0,1
20009,CGY,VAN,VAN,GOAL,HIT,580.0,580.0,5.0,44.0,44.0,182.0,580.0,580.0,580.0,1,18,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20009,CGY,VAN,VAN,GOAL,BLOCK,708.0,708.0,8.0,12.0,12.0,83.0,128.0,128.0,708.0,1,23,23,2,1,0,0,0,0,0,0,0,0,0,1,0,0
20009,CGY,VAN,VAN,GOAL,SHOT,736.0,736.0,2.0,2.0,2.0,111.0,28.0,28.0,736.0,1,25,25,3,0,1,0,0,0,0,0,0,0,0,1,0,0
20009,CGY,VAN,CGY,GOAL,GIVE,949.0,949.0,6.0,13.0,13.0,200.0,213.0,213.0,949.0,1,29,29,4,0,0,1,0,0,0,0,0,0,0,1,0,0
20009,CGY,VAN,VAN,GOAL,HIT,1038.0,1038.0,16.0,89.0,102.0,89.0,89.0,302.0,89.0,1,30,30,5,0,1,0,0,0,0,0,0,0,0,1,0,0
20009,CGY,VAN,CGY,GOAL,GIVE,2221.0,1021.0,1.0,8.0,162.0,8.0,1021.0,1021.0,1021.0,1,34,71,6,0,0,1,0,0,0,0,0,0,0,0,1,0
20009,CGY,VAN,CGY,GOAL,FAC,2561.0,161.0,4.0,16.0,63.0,16.0,161.0,161.0,161.0,1,6,78,7,0,1,0,0,0,0,0,0,0,0,0,0,1
20009,CGY,VAN,CGY,GOAL,FAC,2896.0,496.0,4.0,6.0,130.0,6.0,335.0,496.0,335.0,1,15,87,8,1,0,0,0,0,0,0,0,0,0,0,0,1
20009,CGY,VAN,CGY,GOAL,GIVE,3040.0,640.0,11.0,12.0,29.0,12.0,144.0,640.0,144.0,1,23,95,9,0,0,0,0,0,0,0,0,0,0,0,0,1
20009,CGY,VAN,VAN,GOAL,TAKE,3503.0,1103.0,8.0,9.0,44.0,9.0,463.0,1103.0,463.0,1,34,106,10,0,0,0,1,0,0,0,0,0,0,0,0,1
20010,COL,VGK,COL,GOAL,BLOCK,648.0,648.0,3.0,13.0,52.0,13.0,648.0,648.0,648.0,1,23,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20010,COL,VGK,VGK,GOAL,BLOCK,675.0,675.0,10.0,10.0,10.0,27.0,27.0,675.0,27.0,1,25,25,2,0,0,0,1,0,0,0,0,0,0,1,0,0
20010,COL,VGK,VGK,GOAL,BLOCK,1112.0,1112.0,22.0,45.0,272.0,45.0,437.0,437.0,464.0,1,36,36,3,0,0,0,0,0,0,0,0,0,0,1,0,0
20010,COL,VGK,VGK,GOAL,HIT,1137.0,1137.0,17.0,25.0,25.0,70.0,25.0,25.0,489.0,1,37,37,4,1,0,0,0,0,0,0,0,0,0,1,0,0
20010,COL,VGK,COL,GOAL,SHOT,1455.0,255.0,19.0,75.0,255.0,75.0,255.0,255.0,255.0,1,4,44,5,0,1,0,0,0,0,0,0,0,0,0,1,0
20010,COL,VGK,VGK,GOAL,HIT,1549.0,349.0,7.0,42.0,349.0,42.0,94.0,349.0,94.0,1,6,46,6,1,0,0,0,0,0,0,0,0,0,0,1,0
20010,COL,VGK,COL,GOAL,MISS,2252.0,1052.0,1.0,2.0,87.0,2.0,703.0,703.0,797.0,1,24,64,7,0,1,0,0,0,0,0,0,0,0,0,1,0
20010,COL,VGK,VGK,GOAL,FAC,2386.0,1186.0,1.0,28.0,28.0,134.0,134.0,837.0,134.0,1,27,67,8,1,0,0,0,0,0,0,0,0,0,0,1,0
20010,COL,VGK,COL,GOAL,BLOCK,2819.0,419.0,6.0,6.0,297.0,6.0,419.0,419.0,419.0,1,7,74,9,0,1,0,0,0,0,0,0,0,0,0,0,1
20010,COL,VGK,VGK,GOAL,FAC,2909.0,509.0,6.0,19.0,19.0,51.0,90.0,509.0,90.0,1,10,77,10,1,0,0,0,0,0,0,0,0,0,0,0,1
20010,COL,VGK,VGK,GOAL,GIVE,3234.0,834.0,1.0,61.0,72.0,61.0,325.0,325.0,415.0,1,18,85,11,0,1,0,0,0,0,0,0,0,0,0,0,1
20010,COL,VGK,VGK,GOAL,GIVE,3564.0,1164.0,4.0,8.0,330.0,8.0,330.0,330.0,745.0,1,29,96,12,0,0,1,0,0,0,0,0,0,0,0,0,1
20011,MTL,BOS,MTL,GOAL,HIT,506.0,506.0,11.0,30.0,30.0,55.0,506.0,506.0,506.0,1,19,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20011,MTL,BOS,BOS,GOAL,GIVE,664.0,664.0,6.0,15.0,70.0,15.0,158.0,664.0,158.0,1,24,24,2,0,0,0,1,0,0,0,0,0,0,1,0,0
20011,MTL,BOS,MTL,GOAL,MISS,738.0,738.0,2.0,2.0,74.0,2.0,74.0,74.0,232.0,1,27,27,3,0,0,0,0,0,0,0,0,0,0,1,0,0
20011,MTL,BOS,BOS,GOAL,HIT,804.0,804.0,7.0,9.0,9.0,25.0,66.0,140.0,66.0,1,30,30,4,0,0,0,1,0,0,0,0,0,0,1,0,0
20011,MTL,BOS,BOS,GOAL,SHOT,1103.0,1103.0,6.0,6.0,6.0,179.0,299.0,299.0,365.0,1,39,39,5,0,0,0,0,0,0,0,0,0,0,1,0,0
20011,MTL,BOS,BOS,GOAL,FAC,2156.0,956.0,1.0,150.0,173.0,150.0,956.0,956.0,956.0,1,26,66,6,1,0,0,0,0,0,0,0,0,0,0,1,0
20011,MTL,BOS,BOS,GOAL,MISS,2211.0,1011.0,2.0,2.0,2.0,205.0,55.0,55.0,1011.0,1,28,68,7,0,1,0,0,0,0,0,0,0,0,0,1,0
20011,MTL,BOS,MTL,GOAL,FAC,2945.0,545.0,5.0,7.0,177.0,7.0,545.0,545.0,545.0,1,24,95,8,0,0,1,0,0,0,0,0,0,0,0,0,1
20011,MTL,BOS,MTL,GOAL,GIVE,3343.0,943.0,12.0,24.0,221.0,24.0,398.0,943.0,398.0,1,37,108,9,0,1,0,0,0,0,0,0,0,0,0,0,1
20011,MTL,BOS,BOS,GOAL,HIT,3360.0,960.0,4.0,17.0,238.0,17.0,17.0,960.0,17.0,1,38,109,10,1,0,0,0,0,0,0,0,0,0,0,0,1
20012,L.A,BUF,BUF,GOAL,SHOT,2215.0,1015.0,2.0,2.0,2.0,40.0,1015.0,1015.0,1015.0,1,36,66,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20012,L.A,BUF,L.A,GOAL,GIVE,2413.0,13.0,8.0,13.0,13.0,13.0,13.0,13.0,13.0,1,1,76,2,1,0,0,0,0,0,0,0,0,0,0,0,1
20012,L.A,BUF,L.A,GOAL,GIVE,3502.0,1102.0,2.0,118.0,143.0,118.0,1089.0,1102.0,1089.0,1,44,119,3,0,0,0,0,0,0,0,0,0,0,0,0,1
